id,name,definition_line,reference_lines
1,CG_LOGIN_PLAYERCHECK,21921,21921;102678
2,CG_LOGIN_ACTORENTER,21922,21922;101654;102812
3,CG_LOGIN_ACTORLEAVE,21923,20707;21923;101655;103048
5,CG_ERROR_NOTIFY,21924,21924;141002
7,CG_LOGIN_ACTORENTER_AGAIN,21925,21925;102681
10001,CG_LOGIN_ACTORLIST,21926,21926;101653;102736
10002,CG_LOGIN_CREATEACTOR,21927,21927;101656;102750
10003,CG_LOGIN_DELETEACTOR,21929,19332;21929;31894
10004,CG_LOGIN_RECOVERACTOR,21930,19336;21930
10005,CG_LOGIN_CREATEACTOR_AUTO,21931,21931;31850;102740;148899;148969
10006,CG_CHANGE_ACCOUNT,21932,20301;21932
10007,CG_CHANGE_ACTOR,21933,20293;21933
10008,CG_BIND_PHONE,21934,21934;31851
10009,CG_ACTOR_PROTECT_LOCK_OPEN,22030,22030;31813
10010,CG_BIND_EMAIL,21983,21983;31852
10011,CG_BIND_SETTING,21984,21984
10012,CG_LOGIN_AD,21985,21985
10014,CG_BIND_CARD,21986,21986;31882
10015,CG_GUIDE_STATUE_RANDOM_NAME,21928,21928;101658;102793
10018,CG_BIND_PHONE_NEW,21935,21935
10019,CG_BIND_IDCARD,21936,21936
10020,CG_GAME_TIMEOUT,21937,21937
10021,CG_CHEAK_PREVENTION_OF_ADDICTION,22585,22585
10022,CG_GET_GAME_TIME,21938,21938;135721
10023,CG_GET_NOTICE_INFO,21939,21939;141318
10030,CG_LOGIN_ACTORLIST_INFO,22638,22638;79821
10501,CG_SCENE_ENTERMAP,21940,21940;169456
10502,CG_SCENE_LEAVEMAP,21941,21941;169466
10503,CG_SCENE_WORLDDATA,21942,21550;21942;88580;169451
10504,CG_SCENE_PLAYER_MOVING,21943,19344;21943;169706
10505,CG_SCENE_GET_OTHER_PLAYER_STATE,21944,19348;21944;169471;169848
10506,CG_SCENE_GO_MAP,21945,21945;169449;169716
10507,CG_SCENE_PLAYER_ICON,21946,21946;169486
10508,CG_SCENE_PLAYER_EVENT,21947,20027;21947;169491
10509,CG_SCENE_SHOW_TEXT,21950,21950;148920
10510,CG_SCENE_GO_CITY,21956,21575;21956
10511,CG_CITY_INFO,21957,19340;21957
10512,CG_CITY_EXTRACT_MONEY,21958,20031;21958;135423
10513,CG_CITY_CHANGE_NAME,21959,20035;21959;135452
10514,CG_CITY_CHANGE_SIGN,21960,20039;21960;135441
10515,CG_CITY_MAP_REFRESH,21961,21961
10516,CG_SCENE_UPDATE,21962,21962;169504
10517,CG_SCENE_SETREBORNMAP,21963,20043;21963;169500
10518,CG_SCENE_FINDPATH_MISSION,21964,19469;19479;21964;169481
10519,CG_SCENE_GETNPC,21965,19452;21965
10520,CG_SCENE_GETSPR,21966,21966
10521,CG_SCENE_WORLDMAP,21967,19483;21967;76456;96626
10522,CG_SCENE_WORLDMAP_DATA,21968,19487;21968;31781;76505;96675
10523,CG_SCENE_WORLDMAP_ENTER,21969,19491;21969;31782;76553;96723
10524,CG_SCENE_GO_MAP_VIP,21970,19495;21970;31783
10525,CG_SCENE_GO_MAP_UPGRADE,21971,21971;92360
10527,CG_SCENE_FINDPATH_AGAIN,21972,21972;169495
10534,CG_SCENE_GET_PET_RESOURCE,21973,21973
10535,CG_SCENE_GET_PET_RESOURCE_ID,21974,21974
10536,CG_SCENE_GET_IMAGE_RESOURCE,22584,22584
11002,CG_MAIL_STATISTICS,21975,19576;21975
11003,CG_ACTOR_ADDATTRIBUTE,21976,19500;21976;88533
11004,CG_ACTOR_ATTRIBUTE_UPDATE,21977,21977;38819;141037
11005,CG_ACTOR_STATUS_CHANGE,21979,21979;169505
11006,CG_ACTOR_SETTING,21980,20285;21980
11007,CG_MAIL_LIST,21981,19568;21981
11008,CG_MAIL_DETAIL,21982,19572;21982;65961
11009,CG_MAIL_SEND,21988,19636;21988;65549
11010,CG_MAIL_SEND_SERVICE,21992,19675;21992;136933
11011,CG_MAIL_EXTRACT_ATTACHMENT,21993,19696;21993;66000
11012,CG_MAIL_TURNBACK,21994,19679;21994;65726
11013,CG_MAIL_DELETE,21995,19683;21995;65682;65699
11014,CG_MAIL_NOTIFY,21996,21996;136936
11015,CG_ALBUMS_PHOTO_DELETE,21997,21997
11016,CG_ALBUMS_COMMENT_SIMPLE,21998,21998
11017,CG_ALBUMS_COMMENT_WORD,21999,21999
11018,CG_ALBUMS_LOVE,22000,22000
11019,CG_ALBUMS_CHECK,22001,22001
11020,CG_ALBUMS_LIST,22002,22002
11021,CG_CARD_GENERATE,22003,22003
11022,CG_CARD_GET,22004,22004
11023,CG_ACHIEVEMENT_GETINFO,22005,20269;22005;170609
11024,CG_ACHIEVEMENT_GETLIST,22006,20273;22006;170614;170818;170828
11025,CG_ACHIEVEMENT_GAINREWARD,22007,22007;170697;170705;170715;170723
11026,CG_TITLE_GETLIST,22008,20277;22008;170619;170663
11027,CG_TITLE_USE,22010,22010;170634;170637
11028,CG_BILL_GETLIST,22011,20265;22011
11029,CG_BILL_DOCARDPAY,22012,22012;31840
11030,CG_BILL_DOALIPAY,22013,22013;31841
11031,CG_MAIL_OPEN,22014,19687;22014;31845;136932
11032,CG_BILL_TENCENT,22015,22015
11033,CG_BILL_NINEONE,22017,22017;31856
11034,CG_MAIL_GETITEMDETAIL,22018,19691;22018;31770;31796
11035,CG_BILL_GFAN,22019,22019
11036,CG_BILL_GFAN_CONFIRM,22020,22020
11037,CG_ACTOR_ATTRIBUTE_UPDATE_STRING,22021,22021;141040
11038,CG_ACTOR_CHANGE_NAME,22022,20297;22022
11039,CG_ACTOR_SELL_MY_LIST,22023,22023;34644
11040,CG_ACTOR_SELL_START,22024,22024;31809;34731
11041,CG_ACTOR_SELL_CANCEL,22025,22025;31810;34772
11042,CG_ACTOR_SELL_LIST,22026,22026;34804
11043,CG_ACTOR_PROTECT_LOCK_SET,22027,22027
11044,CG_ACTOR_PROTECT_LOCK_MODIFY,22028,22028;31812
11045,CG_ACTOR_PROTECT_LOCK_CHANCLE,22029,22029;31811
11047,CG_ACTOR_PROTECT_LOCK_RESET,22031,22031
11048,CG_ACTOR_SELL_BUY,22032,22032;31814;34897
11049,CG_ACTOR_SELL_SEE,22033,22033;31815;34450
11050,CG_ACTOR_SEE_ACHIEVEMENT,22034,22034;71663
11051,CG_MAIL_REPORT,21987,21987;31816;65674;136934
11053,CG_VIP_LIST,22064,22064;126717;128093
11054,CG_VIP_BUY,22065,22065;31822;126722;128242
11055,CG_VIP_INFO,22066,22066;126727;128299
11056,CG_VIP_QUESTION_GET,22071,22071;31823;34222;34225
11057,CG_VIP_QUESTION_SUB,22072,22072;31824;34287;34290
11058,CG_VIP_BUY_NOTIFY,22073,22073
11059,CG_BILL_UC_JAVA,22074,22074;31857
11060,CG_ACTOR_ACCEPTDISCIPLE_START,22115,22115;31825;158188;158259
11061,CG_ACTOR_ACCEPTDISCIPLE_CANCEL,22116,22116
11062,CG_ACTOR_ACCEPTDISCIPLE_LIST,22117,22117;158184;158235
11063,CG_ACTOR_LOTTERY_DRAW,22118,22118;91821
11064,CG_ACTOR_LOTTERY_DRAW_LIST,22119,22119;91542
11065,CG_ACTOR_LOTTERY_DRAW_WINNING_LIST,22120,22120;91918
11066,CG_BILL_UC_ANDRIOD,22075,22075;31859
11067,CG_BILL_UC_DEFINE,22076,22076
11071,CG_ACTOR_LOGIN_REWARDS_LIST,22107,22107
11072,CG_BILL_UC_ANDRIOD_NEW,22077,22077;31860
11073,CG_ACTOR_LOGIN_REWARDS_ACQUIRE,22108,22108
11075,CG_ACTOR_LOGIN_REWARDS,22109,22109
11077,CG_SYSTEM_GUIDE,22110,22110
11078,CG_BILL_DESCRIBE,22111,20261;22111;31828;146087;146401
11080,CG_VIP_BUY_CQ,22112,22112
11081,CG_BILL_UC_NEW_JAVA,22078,22078;31858
11083,CG_BILL_ACHIEVEMENT_GETLIST,22113,22113;146092;146428
11089,CG_BILL_TENCENT_NEW,22016,22016
11090,CG_BILL_QIHOO,22079,22079;31842
11092,CG_BILL_CMCC,22080,22080;31883
11097,CG_ACTOR_IS_TOURIST,22081,22081
11098,CG_BILL_SAMSUNG_UNIONPAY_GETBILLDEFINE,22082,22082
11099,CG_BILL_SAMSUNG_UNIONPAY_BILLING,22083,22083
11101,CG_BILL_CMCC_MM__BILLING,22084,22084
11102,CG_BILL_TELECOM,22085,22085
11103,CG_BILL_UNICOM,22086,22086
11105,CG_BILL_LINK_ONLINE,22087,22087;31889
11106,CG_ACTOR_LOTTERY_DRAW_LIST_NEW,22121,22121;64668
11107,CG_ACTOR_LOTTERY_DRAW_START_NEW,22123,22123;64882
11108,CG_ACTOR_LOGIN_ONLINE_REWARD,22088,22088;191376;192008
11109,CG_ACTOR_RECEIVE_ONLINE_REWARD,22089,22089;65176
11110,CG_SEND_ACCOST,22128,22128;141017
11111,CG_INITIATIVE_ACCOST,22129,22129;87178
11112,CG_SEND_INITIATIVE_ACCOST,22130,22130;141018
11113,CG_GET_ACCOST_MY_LIST,22131,22131;87204
11114,CG_SEND_FINISH_MISSION_LEARN_SKILL,22132,22132
11115,CG_ACTOR_LOGIN_LOTTERY_DRAW_NEW,22124,22124;141006
11116,CG_SEND_IS_OPEN,22090,22090;141000
11116,CG_SEND_IS_OPEN_WO,22127,22127
11120,CG_CHARGE_ACTIVITY_LIST,22133,22133;146082;146314
11121,CG_CHARGE_ACTIVITY_GET_GIFT,22134,22134;146359;146362
11125,CG_WO_REGISTRATION,22091,22091
11126,CG_WO_INTO_NET,22092,22092
11130,CG_COLOR_BOX,22093,22093
11142,CG_CHANGE_TURN_MONSTER,22094,22094;71924;126680
11148,CG_ACTOR_PROTECT_RESET_QUESTION_SEND,22097,22097
11149,CG_ACTOR_PROTECT_RESET_BY_QUESTION,22098,22098
11150,CG_COST_REWARD_LIST,22099,22099;72011
11151,CG_COST_REWARD_GET_REWARD,22100,22100;72148
11152,CG_BILL_SEND_DRAW_MESSAFE,22101,22101
11160,CG_VIP_UPGRADE,22068,22068;126732;128327
11161,CG_VIP_UPGRADE2,22069,22069;126737;128414;128476
11162,CG_CQVIP_INFO,22067,22067
11163,CG_LOOKUP_INSTRUCTOR,22070,22070;95842
11166,CG_ACTOR_MOVE_STORAGE_OPEN_INFO,22589,22589
11167,CG_ACTOR_OPEN_MOVE_STORAGE,22590,22590
11168,CG_ACTOR_TASK_RECORD_INFO,22596,22596
11169,CG_SHARE_CALL_BACK,22602,22602;141023;141138
11170,CG_ENTER_BY_SHARE,22603,22603;141027;141144
11171,CG_ACTOR_TASK_RECORD_INFO_NEW,22597,22597;201647;201682
11172,CG_ACTOR_CHARGE_MONEY,22601,22601;146107
11173,CG_MAIL_EXTRACT_ATTACHMENT_ALL,22604,22604;136940;137097
11174,CG_ACTOR_LOTTERY_DRAW_DESC,22122,22122;64619
11175,CG_FIRST_CHARGE_GIFT,22125,22125;200665
11200,CG_ACTOR_DAILY_CHECK_IN_LIST,22598,22598;84089
11201,CG_ACTOR_CHECK_IN_CLICK_EVENT,22599,22599;84141
11501,CG_SUIT_GETINFO,22035,19824;22035
11502,CG_ITEM_DECOM,22036,11835;22036;31797
11503,CG_COMPOSITE_SHOP,22037,8825;20118;22037;31798
11504,CG_COMPOSITE_DO,22038,20125;22038
11505,CG_COMPOSITE_CONFIRM,22039,20137;22039;31800
11506,CG_ASCENSION_STAR,22040,9541;22040
11507,CG_REPLACE_INLAY_GEM,22041,11646;22041;31827
11508,CG_REPLACE_INLAY_GEM_ASK,22042,11735;22042
